,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
992,2021,SE,FT,DevOps Engineer,189750,USD,189750,US,100,US,L
993,2021,MI,FT,DevOps Engineer,2100,EUR,2482,RO,100,RO,L
994,2021,MI,FT,DevOps Engineer,131000,USD,131000,US,50,US,L
995,2021,MI,FT,DevOps Engineer,224000,USD,224000,US,50,US,L
996,2020,SE,FT,DevOps Engineer,95000,CAD,70859,CA,50,CA,S
997,2021,SE,FT,DevOps Engineer,41000,USD,41000,BG,100,AT,L
998,2021,EN,FT,DevOps Engineer,42000,GBP,57769,GB,50,GB,S
999,2021,MI,FT,DevOps Engineer,100000,USD,100000,US,100,US,M
1000,2021,SE,FT,DevOps Engineer,175000,USD,175000,US,100,US,S
1001,2021,SE,FT,DevOps Engineer,150000,USD,150000,US,100,US,L
1002,2021,MI,FT,DevOps Engineer,115000,USD,115000,US,100,US,L
1003,2020,SE,FT,DevOps Engineer,41000,GBP,52588,GB,100,GB,L
1004,2021,SE,FT,DevOps Engineer,35000,EUR,41372,MK,100,MK,L
1005,2020,MI,FT,DevOps Engineer,105000,CHF,111892,CH,50,CH,L
1006,2021,SE,FT,DevOps Engineer,200000,USD,200000,US,100,US,L
1007,2021,SE,FT,DevOps Engineer,58000,EUR,68559,BE,100,BE,M
1008,2020,MI,FT,DevOps Engineer,110000,USD,110000,US,100,US,L
1009,2021,EN,FT,DevOps Engineer,65000,CAD,51845,CA,100,CA,M
1010,2021,EN,FT,DevOps Engineer,480000,SEK,55916,SE,50,SE,S
1011,2021,SE,FT,DevOps Engineer,150000,USD,150000,US,100,US,M
1012,2021,SE,FT,DevOps Engineer,92867,USD,92867,US,50,US,L
1215,2021,SE,FT,DevOps Engineer,92867,USD,92867,US,50,US,L
1333,2021,EN,FT,DevOps Engineer,480000,SEK,55916,SE,50,SE,S
1356,2021,MI,FT,Information Security Analyst,120000,USD,120000,US,100,US,L
1432,2021,SE,FT,DevOps Engineer,58000,EUR,68559,BE,100,BE,M
1433,2020,MI,FT,DevOps Engineer,110000,USD,110000,US,100,US,L
1438,2021,EN,FT,DevOps Engineer,65000,CAD,51845,CA,100,CA,M
1483,2020,MI,FT,DevOps Engineer,105000,CHF,111892,CH,50,CH,L
1551,2021,SE,FT,DevOps Engineer,200000,USD,200000,US,100,US,L
1607,2021,SE,FT,DevOps Engineer,150000,USD,150000,US,100,US,L
1609,2021,SE,FT,DevOps Engineer,189750,USD,189750,US,100,US,L
1642,2021,MI,FT,DevOps Engineer,2100,EUR,2482,RO,100,RO,L
1654,2021,MI,FT,DevOps Engineer,131000,USD,131000,US,50,US,L
1700,2021,MI,FT,DevOps Engineer,224000,USD,224000,US,50,US,L
1746,2020,SE,FT,DevOps Engineer,95000,CAD,70859,CA,50,CA,S
1747,2021,SE,FT,DevOps Engineer,41000,USD,41000,BG,100,AT,L
1750,2021,EN,FT,DevOps Engineer,42000,GBP,57769,GB,50,GB,S
1753,2021,MI,FT,DevOps Engineer,100000,USD,100000,US,100,US,M
1761,2021,SE,FT,DevOps Engineer,175000,USD,175000,US,100,US,S
1767,2021,SE,FT,DevOps Engineer,150000,USD,150000,US,100,US,L
1808,2021,MI,FT,DevOps Engineer,115000,USD,115000,US,100,US,L
1812,2020,SE,FT,DevOps Engineer,41000,GBP,52588,GB,100,GB,L
1847,2021,SE,FT,DevOps Engineer,35000,EUR,41372,MK,100,MK,L
2190,2021,MI,FT,Penetration Tester,100000,USD,100000,US,100,US,M
2450,2020,SE,FT,Software Engineer,152300,USD,152300,FR,100,US,M
